timestamp,source,symbol,data_type,price,bid,ask,volume,quote_volume,high_24h,low_24h,price_change_24h,bids,asks,bid_volume,ask_volume,instrument,strike,expiry,type,open_interest,iv,mark,price_acceleration,volume_anomaly
2025-07-10 09:07:02.348591+00:00,binance,BTCUSDT,spot,111210.36,111210.35,111210.36,18793.62635,2075782121.633751,111999.79,108503.0,2.358,,,,,,,,,,,,,
2025-07-10 09:07:02.441638+00:00,binance,BTCUSDT,orderbook,,,,,,,,,"[['111210.35000000', '1.83983000'], ['111210.34000000', '0.00282000'], ['111210.10000000', '0.00600000'], ['111210.00000000', '0.00229000'], ['111209.88000000', '0.00010000'], ['111209.87000000', '0.07853000'], ['111209.65000000', '0.00134000'], ['111208.97000000', '0.00005000'], ['111208.57000000', '0.00089000'], ['111208.14000000', '0.00005000']]","[['111210.36000000', '4.84887000'], ['111210.37000000', '0.00040000'], ['111210.43000000', '0.00006000'], ['111210.45000000', '0.00016000'], ['111210.67000000', '0.00028000'], ['111210.98000000', '0.00020000'], ['111210.99000000', '0.00015000'], ['111211.03000000', '0.00134000'], ['111211.07000000', '0.00005000'], ['111211.83000000', '0.00010000']]",1.9319000000000002,4.85161,,,,,,,,,
2025-07-10 09:07:02.534325+00:00,binance,ETHUSDT,spot,2788.43,2788.43,2788.44,845907.972,2310131725.605014,2823.18,2604.37,6.727,,,,,,,,,,,,,
2025-07-10 09:07:02.626340+00:00,binance,ETHUSDT,orderbook,,,,,,,,,"[['2788.43000000', '29.05620000'], ['2788.42000000', '0.00380000'], ['2788.41000000', '0.00190000'], ['2788.40000000', '0.00190000'], ['2788.38000000', '0.00550000'], ['2788.37000000', '0.00380000'], ['2788.36000000', '0.00190000'], ['2788.35000000', '0.00190000'], ['2788.34000000', '0.00190000'], ['2788.33000000', '0.00550000']]","[['2788.44000000', '65.43390000'], ['2788.45000000', '0.00570000'], ['2788.46000000', '0.86440000'], ['2788.47000000', '1.00560000'], ['2788.48000000', '0.00400000'], ['2788.49000000', '0.00930000'], ['2788.50000000', '1.85500000'], ['2788.51000000', '0.10970000'], ['2788.52000000', '0.71870000'], ['2788.53000000', '0.00400000']]",29.084299999999995,70.01030000000002,,,,,,,,,
2025-07-10 09:07:03.723555+00:00,binance,BTCUSDT,spot,111210.35,111210.35,111210.36,18793.53993,2075772749.5256543,111999.79,108503.0,2.358,,,,,,,,,,,,,
2025-07-10 09:07:03.820282+00:00,binance,BTCUSDT,orderbook,,,,,,,,,"[['111210.35000000', '1.38667000'], ['111210.34000000', '0.00282000'], ['111210.10000000', '0.00600000'], ['111210.00000000', '0.00229000'], ['111209.88000000', '0.00010000'], ['111209.87000000', '0.07853000'], ['111209.65000000', '0.00134000'], ['111208.97000000', '0.00005000'], ['111208.57000000', '0.00089000'], ['111208.14000000', '0.00005000']]","[['111210.36000000', '4.92696000'], ['111210.37000000', '0.00025000'], ['111210.43000000', '0.00006000'], ['111210.45000000', '0.00016000'], ['111210.67000000', '0.00028000'], ['111210.99000000', '0.00005000'], ['111211.03000000', '0.00144000'], ['111211.07000000', '0.00005000'], ['111211.83000000', '0.00010000'], ['111211.84000000', '0.09036000']]",1.4787400000000002,5.01971,,,,,,,,,
2025-07-10 09:07:03.917934+00:00,binance,ETHUSDT,spot,2788.44,2788.43,2788.44,845908.4756,2310133140.46169,2823.18,2604.37,6.728,,,,,,,,,,,,,
2025-07-10 09:07:04.011044+00:00,binance,ETHUSDT,orderbook,,,,,,,,,"[['2788.43000000', '29.05830000'], ['2788.42000000', '0.00190000'], ['2788.41000000', '0.00190000'], ['2788.40000000', '0.00190000'], ['2788.38000000', '0.00550000'], ['2788.37000000', '0.00380000'], ['2788.36000000', '0.00190000'], ['2788.35000000', '0.00190000'], ['2788.34000000', '0.00190000'], ['2788.33000000', '0.00760000']]","[['2788.44000000', '65.55210000'], ['2788.45000000', '0.00570000'], ['2788.46000000', '0.86440000'], ['2788.47000000', '1.00560000'], ['2788.48000000', '0.00400000'], ['2788.49000000', '0.00930000'], ['2788.50000000', '1.85500000'], ['2788.51000000', '0.10970000'], ['2788.52000000', '0.71870000'], ['2788.53000000', '0.00400000']]",29.086599999999994,70.12850000000002,,,,,,,,,
2025-07-10 09:07:05.117007+00:00,binance,BTCUSDT,spot,111210.35,111210.35,111210.36,18792.98447,2075713029.237962,111999.79,108503.0,2.36,,,,,,,,,,,,,
2025-07-10 09:07:05.209444+00:00,binance,BTCUSDT,orderbook,,,,,,,,,"[['111210.35000000', '1.23041000'], ['111210.34000000', '0.08798000'], ['111210.10000000', '0.00600000'], ['111210.00000000', '0.00229000'], ['111209.65000000', '0.00134000'], ['111209.00000000', '0.00010000'], ['111208.99000000', '0.07853000'], ['111208.97000000', '0.00005000'], ['111208.57000000', '0.00089000'], ['111208.14000000', '0.00005000']]","[['111210.36000000', '4.69428000'], ['111210.37000000', '0.00010000'], ['111210.43000000', '0.00006000'], ['111210.45000000', '0.00016000'], ['111210.67000000', '0.00028000'], ['111210.99000000', '0.00005000'], ['111211.03000000', '0.00144000'], ['111211.07000000', '0.00005000'], ['111211.83000000', '0.00010000'], ['111211.84000000', '0.09041000']]",1.40764,4.78693,,,,,,,,,
