timestamp,source,symbol,data_type,price,bid,ask,volume,quote_volume,high_24h,low_24h,price_change_24h,bids,asks,bid_volume,ask_volume,instrument,strike,expiry,type,open_interest,iv,mark
2025-07-10 09:23:21.322558+00:00,binance,BTCUSDT,spot,111147.06,111147.06,111147.07,18783.25111,2074790507.4362984,111999.79,108503.0,2.327,,,,,,,,,,,
2025-07-10 09:23:21.422095+00:00,binance,BTCUSDT,orderbook,,,,,,,,,"[['111147.06000000', '0.25916000'], ['111147.05000000', '0.00055000'], ['111147.03000000', '0.00005000'], ['111147.00000000', '0.00100000'], ['111146.93000000', '0.00005000'], ['111146.30000000', '0.00070000'], ['111146.01000000', '0.00006000'], ['111146.00000000', '0.00100000'], ['111145.90000000', '0.00008000'], ['111145.89000000', '0.00010000']]","[['111147.07000000', '8.25879000'], ['111147.15000000', '0.00010000'], ['111147.16000000', '0.02553000'], ['111147.96000000', '0.00410000'], ['111147.99000000', '0.00010000'], ['111148.00000000', '0.22337000'], ['111148.01000000', '0.43404000'], ['111148.53000000', '0.00005000'], ['111148.67000000', '0.00134000'], ['111148.72000000', '0.00043000']]",0.26275,8.947849999999997,,,,,,,
2025-07-10 09:23:21.515077+00:00,binance,ETHUSDT,spot,2781.1,2781.09,2781.1,846311.7807,2312099311.303608,2823.18,2606.49,6.547,,,,,,,,,,,
2025-07-10 09:23:21.618414+00:00,binance,ETHUSDT,orderbook,,,,,,,,,"[['2781.09000000', '2.36510000'], ['2781.08000000', '0.26560000'], ['2781.07000000', '0.00400000'], ['2781.06000000', '0.00190000'], ['2781.05000000', '0.00190000'], ['2781.04000000', '0.00190000'], ['2781.03000000', '0.00930000'], ['2781.02000000', '2.49170000'], ['2781.01000000', '1.48490000'], ['2781.00000000', '0.00550000']]","[['2781.10000000', '150.53400000'], ['2781.11000000', '4.55210000'], ['2781.12000000', '0.67500000'], ['2781.13000000', '3.53920000'], ['2781.14000000', '0.00380000'], ['2781.15000000', '3.59210000'], ['2781.16000000', '0.00190000'], ['2781.17000000', '0.00740000'], ['2781.18000000', '0.00190000'], ['2781.19000000', '0.00190000']]",6.6318,162.9093,,,,,,,
2025-07-10 09:23:22.713884+00:00,binance,BTCUSDT,spot,111147.07,111147.06,111147.07,18783.23333,2074788594.8188381,111999.79,108503.0,2.327,,,,,,,,,,,
2025-07-10 09:23:22.806603+00:00,binance,BTCUSDT,orderbook,,,,,,,,,"[['111147.06000000', '0.26019000'], ['111147.05000000', '0.00070000'], ['111147.03000000', '0.00005000'], ['111147.00000000', '0.00100000'], ['111146.93000000', '0.00005000'], ['111146.30000000', '0.00070000'], ['111146.01000000', '0.00006000'], ['111146.00000000', '0.00100000'], ['111145.90000000', '0.00008000'], ['111145.89000000', '0.00010000']]","[['111147.07000000', '8.24289000'], ['111147.15000000', '0.00010000'], ['111147.16000000', '0.02553000'], ['111147.96000000', '0.00410000'], ['111147.99000000', '0.00010000'], ['111148.00000000', '0.22337000'], ['111148.01000000', '0.43404000'], ['111148.53000000', '0.00005000'], ['111148.67000000', '0.00134000'], ['111148.72000000', '0.00043000']]",0.26392999999999994,8.931949999999997,,,,,,,
2025-07-10 09:23:22.903988+00:00,binance,ETHUSDT,spot,2781.1,2781.09,2781.1,846305.9709,2312084148.060649,2823.18,2606.49,6.547,,,,,,,,,,,
2025-07-10 09:23:22.999792+00:00,binance,ETHUSDT,orderbook,,,,,,,,,"[['2781.09000000', '15.98920000'], ['2781.08000000', '0.00550000'], ['2781.07000000', '0.00400000'], ['2781.06000000', '0.00190000'], ['2781.05000000', '0.00190000'], ['2781.04000000', '0.00190000'], ['2781.03000000', '0.01140000'], ['2781.02000000', '3.21200000'], ['2781.01000000', '0.76270000'], ['2781.00000000', '0.00550000']]","[['2781.10000000', '82.53920000'], ['2781.11000000', '3.36230000'], ['2781.12000000', '0.56740000'], ['2781.13000000', '0.00190000'], ['2781.14000000', '0.00760000'], ['2781.15000000', '3.59210000'], ['2781.16000000', '0.00190000'], ['2781.17000000', '0.00740000'], ['2781.18000000', '0.00190000'], ['2781.19000000', '0.00570000']]",19.995999999999995,90.08740000000003,,,,,,,
2025-07-10 09:23:24.094642+00:00,binance,BTCUSDT,spot,111147.07,111147.06,111147.07,18783.24932,2074790394.710801,111999.79,108503.0,2.327,,,,,,,,,,,
2025-07-10 09:23:24.188968+00:00,binance,BTCUSDT,orderbook,,,,,,,,,"[['111147.06000000', '0.25895000'], ['111147.05000000', '0.00060000'], ['111147.03000000', '0.00005000'], ['111147.00000000', '0.00100000'], ['111146.93000000', '0.00005000'], ['111146.30000000', '0.00070000'], ['111146.01000000', '0.00006000'], ['111146.00000000', '0.00100000'], ['111145.90000000', '0.00008000'], ['111145.89000000', '0.00010000']]","[['111147.07000000', '8.20053000'], ['111147.15000000', '0.00010000'], ['111147.16000000', '0.02558000'], ['111147.36000000', '0.00510000'], ['111147.96000000', '0.00400000'], ['111147.99000000', '0.00010000'], ['111148.00000000', '0.22337000'], ['111148.01000000', '0.42904000'], ['111148.53000000', '0.00005000'], ['111148.67000000', '0.00134000']]",0.26259,8.88921,,,,,,,
