timestamp,source,symbol,data_type,bids,asks,bid_volume,ask_volume,price,bid,ask,volume,quote_volume,high_24h,low_24h,price_change_24h,price_acceleration,volume_anomaly,instrument,strike,expiry,type,open_interest,iv,mark
2025-07-10 08:50:31.174219+00:00,binance,ETHUSDT,orderbook,"[['2789.05000000', '1.94640000'], ['2789.04000000', '0.00760000'], ['2789.03000000', '0.00190000'], ['2789.02000000', '0.00550000'], ['2789.01000000', '0.00380000'], ['2789.00000000', '0.00370000'], ['2788.99000000', '0.06250000'], ['2788.98000000', '0.00380000'], ['2788.97000000', '0.00760000'], ['2788.96000000', '0.00190000']]","[['2789.06000000', '138.12590000'], ['2789.07000000', '0.26190000'], ['2789.08000000', '0.00580000'], ['2789.09000000', '3.08110000'], ['2789.10000000', '0.00190000'], ['2789.11000000', '0.00920000'], ['2789.12000000', '0.00190000'], ['2789.13000000', '2.26380000'], ['2789.14000000', '0.00190000'], ['2789.15000000', '0.00190000']]",2.0447,143.7553,,,,,,,,,,,,,,,,,
2025-07-10 08:50:32.281415+00:00,binance,BTCUSDT,spot,,,,,111335.06,111335.05,111335.06,18755.76054,2071421148.8634543,111999.79,108503.0,2.411,,,,,,,,,
2025-07-10 08:50:32.374090+00:00,binance,BTCUSDT,orderbook,"[['111335.05000000', '2.83851000'], ['111335.04000000', '0.00327000'], ['111335.02000000', '0.00048000'], ['111335.00000000', '0.00100000'], ['111334.90000000', '0.00010000'], ['111334.89000000', '0.58455000'], ['111334.88000000', '0.40430000'], ['111334.62000000', '0.00179000'], ['111334.38000000', '0.00134000'], ['111334.00000000', '0.00100000']]","[['111335.06000000', '4.06787000'], ['111335.07000000', '0.11273000'], ['111335.45000000', '0.01303000'], ['111335.46000000', '0.02692000'], ['111335.74000000', '0.00134000'], ['111336.70000000', '0.00005000'], ['111337.29000000', '0.00049000'], ['111337.53000000', '0.00011000'], ['111337.81000000', '0.00005000'], ['111338.27000000', '0.01054000']]",3.8363400000000003,4.233129999999999,,,,,,,,,,,,,,,,,
2025-07-10 08:50:32.467576+00:00,binance,ETHUSDT,spot,,,,,2789.06,2789.05,2789.06,848516.274,2316268360.633439,2823.18,2604.37,6.551,,,,,,,,,
2025-07-10 08:50:32.559943+00:00,binance,ETHUSDT,orderbook,"[['2789.05000000', '1.58960000'], ['2789.04000000', '0.00760000'], ['2789.03000000', '0.00190000'], ['2789.02000000', '0.00760000'], ['2789.01000000', '0.00380000'], ['2789.00000000', '0.00370000'], ['2788.99000000', '0.06250000'], ['2788.98000000', '0.00380000'], ['2788.97000000', '0.00760000'], ['2788.96000000', '0.00190000']]","[['2789.06000000', '145.80500000'], ['2789.07000000', '0.26190000'], ['2789.08000000', '0.00580000'], ['2789.09000000', '3.08110000'], ['2789.10000000', '0.00190000'], ['2789.11000000', '0.94210000'], ['2789.12000000', '0.01710000'], ['2789.13000000', '2.26380000'], ['2789.14000000', '0.00190000'], ['2789.15000000', '0.00190000']]",1.6900000000000002,152.38250000000002,,,,,,,,,,,,,,,,,
2025-07-10 08:50:33.657813+00:00,binance,BTCUSDT,spot,,,,,111335.05,111335.05,111335.06,18755.90412,2071437144.2324493,111999.79,108503.0,2.411,,,,,,,,,
2025-07-10 08:50:33.759774+00:00,binance,BTCUSDT,orderbook,"[['111335.05000000', '2.67307000'], ['111335.04000000', '0.00332000'], ['111335.02000000', '0.00048000'], ['111335.00000000', '0.00100000'], ['111334.90000000', '0.00010000'], ['111334.89000000', '0.59922000'], ['111334.88000000', '0.40430000'], ['111334.62000000', '0.00179000'], ['111334.38000000', '0.00134000'], ['111334.00000000', '0.00100000']]","[['111335.06000000', '4.06748000'], ['111335.07000000', '0.11273000'], ['111335.45000000', '0.01303000'], ['111335.46000000', '0.02692000'], ['111335.74000000', '0.00134000'], ['111336.70000000', '0.00005000'], ['111337.29000000', '0.00049000'], ['111337.53000000', '0.00011000'], ['111337.81000000', '0.00005000'], ['111338.27000000', '0.01054000']]",3.68562,4.232739999999999,,,,,,,,,,,,,,,,,
2025-07-10 08:50:33.852745+00:00,binance,ETHUSDT,spot,,,,,2789.06,2789.05,2789.06,848516.4011,2316268718.020808,2823.18,2604.37,6.551,,,,,,,,,
2025-07-10 08:50:33.944881+00:00,binance,ETHUSDT,orderbook,"[['2788.91000000', '0.53200000'], ['2788.90000000', '0.06670000'], ['2788.88000000', '0.00570000'], ['2788.87000000', '0.34990000'], ['2788.86000000', '0.01130000'], ['2788.84000000', '0.00570000'], ['2788.83000000', '0.01620000'], ['2788.81000000', '0.00550000'], ['2788.80000000', '0.00390000'], ['2788.79000000', '0.01820000']]","[['2788.92000000', '144.95320000'], ['2788.93000000', '0.95190000'], ['2788.94000000', '1.72980000'], ['2788.95000000', '3.75710000'], ['2788.96000000', '0.00190000'], ['2788.97000000', '1.01390000'], ['2788.98000000', '0.00400000'], ['2788.99000000', '0.00190000'], ['2789.00000000', '2.41010000'], ['2789.01000000', '0.00190000']]",1.0151000000000001,154.82570000000004,,,,,,,,,,,,,,,,,
2025-07-10 08:50:35.060513+00:00,binance,BTCUSDT,spot,,,,,111335.05,111335.05,111335.06,18755.88876,2071435489.6136236,111999.79,108503.0,2.411,,,,,,,,,
