timestamp,source,symbol,data_type,price,bid,ask,volume,quote_volume,high_24h,low_24h,price_change_24h,bids,asks,bid_volume,ask_volume,instrument,strike,expiry,type,open_interest,iv,mark
2025-07-10 09:48:53.850987+00:00,binance,BTCUSDT,spot,111086.72,111086.72,111086.73,18808.66693,2077929235.8685057,111999.79,108503.0,2.155,,,,,,,,,,,
2025-07-10 09:48:53.958674+00:00,binance,BTCUSDT,orderbook,,,,,,,,,"[['111086.72000000', '3.04274000'], ['111086.71000000', '0.00060000'], ['111086.69000000', '0.29724000'], ['111086.28000000', '0.01824000'], ['111086.27000000', '0.00716000'], ['111086.26000000', '0.00126000'], ['111086.15000000', '0.00056000'], ['111086.13000000', '0.09163000'], ['111086.00000000', '0.00774000'], ['111085.46000000', '0.00010000']]","[['111086.73000000', '5.27537000'], ['111086.74000000', '0.00040000'], ['111086.83000000', '0.00010000'], ['111086.84000000', '0.02029000'], ['111086.85000000', '0.29724000'], ['111086.93000000', '0.00010000'], ['111086.94000000', '0.52437000'], ['111086.95000000', '0.17126000'], ['111086.99000000', '0.00010000'], ['111087.00000000', '0.38635000']]",3.4672699999999996,6.67558,,,,,,,
2025-07-10 09:48:54.058855+00:00,binance,ETHUSDT,spot,2775.75,2775.75,2775.76,848345.9888,2318334795.025779,2823.18,2606.49,6.286,,,,,,,,,,,
2025-07-10 09:48:54.151218+00:00,binance,ETHUSDT,orderbook,,,,,,,,,"[['2775.75000000', '87.04290000'], ['2775.74000000', '1.86600000'], ['2775.73000000', '0.73800000'], ['2775.72000000', '0.00380000'], ['2775.71000000', '0.00400000'], ['2775.70000000', '1.93360000'], ['2775.69000000', '0.00560000'], ['2775.67000000', '0.00400000'], ['2775.66000000', '0.00190000'], ['2775.65000000', '0.00190000']]","[['2775.76000000', '0.22050000'], ['2775.77000000', '0.03140000'], ['2775.78000000', '0.18210000'], ['2775.79000000', '0.00380000'], ['2775.80000000', '0.00750000'], ['2775.81000000', '1.02920000'], ['2775.82000000', '0.00380000'], ['2775.83000000', '0.00910000'], ['2775.84000000', '0.00190000'], ['2775.85000000', '0.07770000']]",91.60170000000002,1.5670000000000002,,,,,,,
2025-07-10 09:48:55.250015+00:00,binance,BTCUSDT,spot,111086.72,111086.72,111086.73,18808.62926,2077925144.8089411,111999.79,108503.0,2.155,,,,,,,,,,,
2025-07-10 09:48:55.348316+00:00,binance,BTCUSDT,orderbook,,,,,,,,,"[['111086.72000000', '3.75268000'], ['111086.71000000', '0.00040000'], ['111086.69000000', '0.29724000'], ['111086.28000000', '0.01824000'], ['111086.27000000', '0.00716000'], ['111086.26000000', '0.00126000'], ['111086.15000000', '0.00056000'], ['111086.13000000', '0.09163000'], ['111086.00000000', '0.00774000'], ['111085.46000000', '0.00010000']]","[['111086.73000000', '4.58915000'], ['111086.74000000', '0.00030000'], ['111086.94000000', '0.00010000'], ['111086.95000000', '0.06767000'], ['111086.99000000', '0.37952000'], ['111087.00000000', '0.38645000'], ['111087.57000000', '0.00135000'], ['111087.89000000', '0.00005000'], ['111088.12000000', '0.00180000'], ['111088.91000000', '0.00010000']]",4.17701,5.42649,,,,,,,
2025-07-10 09:48:55.439345+00:00,binance,ETHUSDT,spot,2775.88,2775.88,2775.89,848345.9463,2318334961.38426,2823.18,2606.49,6.292,,,,,,,,,,,
2025-07-10 09:48:55.544619+00:00,binance,ETHUSDT,orderbook,,,,,,,,,"[['2775.88000000', '64.18220000'], ['2775.87000000', '1.02840000'], ['2775.86000000', '1.62550000'], ['2775.85000000', '0.72990000'], ['2775.84000000', '0.00780000'], ['2775.83000000', '9.20100000'], ['2775.82000000', '10.79220000'], ['2775.81000000', '6.01500000'], ['2775.80000000', '12.31130000'], ['2775.79000000', '0.00380000']]","[['2775.89000000', '16.15520000'], ['2775.90000000', '0.01320000'], ['2775.91000000', '0.07960000'], ['2775.92000000', '1.42630000'], ['2775.93000000', '0.00380000'], ['2775.94000000', '0.00190000'], ['2775.95000000', '0.00560000'], ['2775.96000000', '0.00380000'], ['2775.97000000', '0.00190000'], ['2775.98000000', '0.00190000']]",105.8971,17.693199999999997,,,,,,,
2025-07-10 09:48:56.646645+00:00,binance,BTCUSDT,spot,111086.72,111086.72,111086.73,18808.62779,2077924985.752203,111999.79,108503.0,2.155,,,,,,,,,,,
2025-07-10 09:48:56.740484+00:00,binance,BTCUSDT,orderbook,,,,,,,,,"[['111086.72000000', '3.75166000'], ['111086.71000000', '0.00040000'], ['111086.69000000', '0.29724000'], ['111086.28000000', '0.01824000'], ['111086.27000000', '0.00716000'], ['111086.26000000', '0.00126000'], ['111086.15000000', '0.00056000'], ['111086.13000000', '0.09163000'], ['111086.00000000', '0.00774000'], ['111085.46000000', '0.00205000']]","[['111086.73000000', '4.58933000'], ['111086.74000000', '0.00030000'], ['111086.94000000', '0.00010000'], ['111086.95000000', '0.02762000'], ['111086.98000000', '0.00010000'], ['111086.99000000', '0.37977000'], ['111087.00000000', '0.38635000'], ['111087.57000000', '0.00135000'], ['111087.89000000', '0.00005000'], ['111088.12000000', '0.00180000']]",4.17794,5.38677,,,,,,,
